key,rank,name,numDescendants
11733052,CLASS,Coelacanthi,239
11500725,CLASS,Dipneusti,219
121,CLASS,Elasmobranchii,6150
120,CLASS,Holocephali,522
119,CLASS,Myxini,150
11881065,CLASS,Petromyzonti,126
1103,ORDER,Acipenseriformes,200
1104,ORDER,Albuliformes,147
494,ORDER,Amiiformes,169
495,ORDER,Anguilliformes,2448
1105,ORDER,Ateleopodiformes,26
496,ORDER,Atheriniformes,742
497,ORDER,Aulopiformes,907
1106,ORDER,Batrachoidiformes,179
498,ORDER,Beloniformes,672
499,ORDER,Beryciformes,583
1107,ORDER,Cetomimiformes,72
537,ORDER,Characiformes,4432
538,ORDER,Clupeiformes,1161
1153,ORDER,Cypriniformes,9754
547,ORDER,Cyprinodontiformes,2380
1162,ORDER,Elopiformes,154
548,ORDER,Esociformes,92
549,ORDER,Gadiformes,1527
550,ORDER,Gasterosteiformes,174
1163,ORDER,Gobiesociformes,371
1164,ORDER,Gonorynchiformes,125
1165,ORDER,Gymnotiformes,524
1166,ORDER,Lampriformes,112
1167,ORDER,Lepisosteiformes,107
1305,ORDER,Lophiiformes,820
1067,ORDER,Mugiliformes,321
1306,ORDER,Myctophiformes,902
1307,ORDER,Notacanthiformes,84
1308,ORDER,Ophidiiformes,1149
1068,ORDER,Osmeriformes,756
1069,ORDER,Osteoglossiformes,541
587,ORDER,Perciformes,27210
1310,ORDER,Percopsiformes,60
588,ORDER,Pleuronectiformes,1894
589,ORDER,Polymixiiformes,64
1311,ORDER,Polypteriformes,77
1312,ORDER,Saccopharyngiformes,50
1313,ORDER,Salmoniformes,698
590,ORDER,Scorpaeniformes,3748
708,ORDER,Siluriformes,7410
890,ORDER,Stephanoberyciformes,144
774,ORDER,Stomiiformes,899
889,ORDER,Synbranchiformes,364
773,ORDER,Syngnathiformes,889
772,ORDER,Tetraodontiformes,1365
888,ORDER,Zeiformes,142
