decimalLatitude,decimalLongitude,countryCode,order,family,species,year,basisOfRecord
23.345426,121.291423,TW,Cypriniformes,Cyprinidae,Acrossocheilus paradoxus,2022,HUMAN_OBSERVATION
24.17797,120.73827,TW,Cypriniformes,Cyprinidae,Opsariichthys pachycephalus,2022,HUMAN_OBSERVATION
26.116667,119.333333,CN,Clupeiformes,Engraulidae,Coilia mystus,,PRESERVED_SPECIMEN
23.280255,121.270597,TW,Cyprinodontiformes,Poeciliidae,Gambusia affinis,2022,HUMAN_OBSERVATION
23.124482,120.074022,TW,Perciformes,Haemulidae,Pomadasys kaakan,2018,HUMAN_OBSERVATION
31.837869,118.92799,CN,Cypriniformes,Cyprinidae,Pseudorasbora parva,2021,HUMAN_OBSERVATION
24.15905,120.74417,TW,Cypriniformes,Cyprinidae,Opsariichthys pachycephalus,2021,HUMAN_OBSERVATION
24.9993,121.609,TW,Cypriniformes,Cyprinidae,Acrossocheilus paradoxus,2016,OCCURRENCE
21.58,108.49,CN,Perciformes,Cichlidae,Oreochromis mossambicus,,PRESERVED_SPECIMEN
31.857808,117.284914,CN,Cypriniformes,Cyprinidae,Hemiculter leucisculus,2026,HUMAN_OBSERVATION
24.23558,120.73916,TW,Cypriniformes,Cyprinidae,Opsariichthys pachycephalus,2022,HUMAN_OBSERVATION
24.94,121.9,TW,Perciformes,Echeneidae,Echeneis naucrates,2003,OCCURRENCE
24.8847,121.283,TW,Cypriniformes,Cyprinidae,Opsariichthys pachycephalus,2016,OCCURRENCE
22.93531,121.14974,TW,Cypriniformes,Cyprinidae,Spinibarbus hollandi,2003,OCCURRENCE
23.21796,121.26987,TW,Cypriniformes,Cyprinidae,Opsariichthys pachycephalus,2022,HUMAN_OBSERVATION
25.16,121.76,TW,Perciformes,Carangidae,Caranx papuensis,1993,OCCURRENCE
22.35618,114.294986,HK,Perciformes,Siganidae,Siganus fuscescens,2026,HUMAN_OBSERVATION
25.2,118.89,CN,Siluriformes,Ariidae,Netuma thalassina,2017,PRESERVED_SPECIMEN
25.133712,121.673373,TW,Cypriniformes,Cyprinidae,Candidia barbata,2022,HUMAN_OBSERVATION
22.47,120.43,TW,Perciformes,Polynemidae,Eleutheronema rhadinum,2005,OCCURRENCE
22.99559,120.63898,TW,Cypriniformes,Cyprinidae,Onychostoma barbatulum,2006,OCCURRENCE
24.7,108.06,CN,Cypriniformes,Cyprinidae,Ancherythroculter lini,2018,PRESERVED_SPECIMEN
23.5931,120.8905,TW,Siluriformes,Bagridae,Pseudobagrus brevianalis,2015,OCCURRENCE
25.15821,121.45254,TW,Mugiliformes,Mugilidae,Osteomugil cunnesius,2004,OCCURRENCE
24.23558,120.73916,TW,Cypriniformes,Cyprinidae,Opsariichthys pachycephalus,2022,HUMAN_OBSERVATION
21.922743,120.742695,TW,Tetraodontiformes,Tetraodontidae,,1968,PRESERVED_SPECIMEN
38.22078,95.48103,CN,Perciformes,Centrarchidae,Lepomis cyanellus,2007,PRESERVED_SPECIMEN
22.99,120.55,TW,Cypriniformes,Balitoridae,Sinogastromyzon nantaiensis,2023,HUMAN_OBSERVATION
25.486711,122.103454,TW,Perciformes,Pomacentridae,,2024,MACHINE_OBSERVATION
20.55,111.2,CN,Perciformes,Latidae,Lates calcarifer,2007,PRESERVED_SPECIMEN
23.45553,120.48869,TW,Perciformes,Gobiidae,Rhinogobius maculafasciatus,2023,HUMAN_OBSERVATION
24.858617,120.86415,TW,Aulopiformes,Synodontidae,Synodus myops,2022,PRESERVED_SPECIMEN
25.487408,122.102777,TW,Perciformes,Pomacentridae,Stegastes altus,2023,HUMAN_OBSERVATION
23.475422,121.357474,TW,Cypriniformes,Cyprinidae,Acrossocheilus paradoxus,2022,HUMAN_OBSERVATION
22.54222,120.50353,TW,Perciformes,Cichlidae,Oreochromis niloticus,2022,HUMAN_OBSERVATION
20.05,109.65,CN,Syngnathiformes,Syngnathidae,Syngnathus schlegeli,2012,PRESERVED_SPECIMEN
23.391817,121.304194,TW,Cypriniformes,Cyprinidae,Acrossocheilus paradoxus,2021,HUMAN_OBSERVATION
23.49719,120.30357,TW,Cyprinodontiformes,Poeciliidae,Poecilia reticulata,2023,HUMAN_OBSERVATION
23.66031,121.42073,TW,Perciformes,Channidae,Channa striata,2018,OCCURRENCE
29.26,117.17,CN,Cypriniformes,Cobitidae,Misgurnus anguillicaudatus,2017,MATERIAL_SAMPLE
22.33303,120.733677,TW,Cypriniformes,Cyprinidae,Carassius auratus,2024,HUMAN_OBSERVATION
24.00697,120.69564,TW,Cypriniformes,Cyprinidae,Opsariichthys pachycephalus,2020,HUMAN_OBSERVATION
19.983333,110.583333,CN,Perciformes,Ambassidae,Ambassis gymnocephalus,1990,PRESERVED_SPECIMEN
23.83901,121.52946,TW,Cypriniformes,Cyprinidae,Tanakia himantegus,2018,OCCURRENCE
23.116358,121.397083,TW,Perciformes,Lutjanidae,,2014,HUMAN_OBSERVATION
22.87314,120.48467,TW,Perciformes,Gobiidae,Rhinogobius maculafasciatus,2022,HUMAN_OBSERVATION
21.25,108.75,CN,Perciformes,Carangidae,Megalaspis cordyla,2014,PRESERVED_SPECIMEN
32.99,97.01,CN,Cypriniformes,Nemacheilidae,Triplophysa stenura,2007,MATERIAL_SAMPLE
22.490233,114.115605,HK,Perciformes,Cichlidae,Oreochromis niloticus,2024,HUMAN_OBSERVATION
24.19,120.49,TW,Cypriniformes,Balitoridae,Sinogastromyzon puliensis,2020,HUMAN_OBSERVATION
